,Step_size,Iteration,Conditional guide,Guide Mode,Path,guide_scale,guide_scale_base,accurancy,count_att,count_diff
1030,85,2,True,VAR,1,600000.0,0.0,87.6,776.0,464.0
1031,90,2,True,VAR,1,600000.0,0.0,87.27,765.0,508.0
1032,95,2,True,VAR,1,600000.0,0.0,87.57,748.0,495.0
1033,100,2,True,VAR,1,600000.0,0.0,87.82,728.0,490.0
1034,105,2,True,VAR,1,600000.0,0.0,87.41,760.0,499.0
1035,110,2,True,VAR,1,600000.0,0.0,87.24,781.0,495.0
1036,115,2,True,VAR,1,600000.0,0.0,87.98,720.0,482.0
1037,120,2,True,VAR,1,600000.0,0.0,87.38,749.0,513.0
1038,125,2,True,VAR,1,600000.0,0.0,87.64,749.0,487.0
1039,130,2,True,VAR,1,600000.0,0.0,87.55,776.0,469.0
1040,135,2,True,VAR,1,600000.0,0.0,87.53,768.0,479.0
1041,140,2,True,VAR,1,600000.0,0.0,87.44,768.0,488.0
1042,145,2,True,VAR,1,600000.0,0.0,87.6,759.0,481.0
1043,150,2,True,VAR,1,600000.0,0.0,87.36,746.0,518.0
1044,10,5,True,VAR,1,600000.0,0.0,68.04,3036.0,160.0
1045,12,5,True,VAR,1,600000.0,0.0,75.68,2246.0,186.0
1046,14,5,True,VAR,1,600000.0,0.0,80.2,1763.0,217.0
1047,16,5,True,VAR,1,600000.0,0.0,82.96,1451.0,253.0
1048,18,5,True,VAR,1,600000.0,0.0,84.61,1240.0,299.0
1049,20,5,True,VAR,1,600000.0,0.0,86.4,1099.0,261.0
1050,22,5,True,VAR,1,600000.0,0.0,87.2,984.0,296.0
1051,24,5,True,VAR,1,600000.0,0.0,87.5,891.0,359.0
1052,26,5,True,VAR,1,600000.0,0.0,88.07,826.0,367.0
1053,28,5,True,VAR,1,600000.0,0.0,88.1,792.0,398.0
1054,30,5,True,VAR,1,600000.0,0.0,88.11,784.0,405.0
1055,32,5,True,VAR,1,600000.0,0.0,88.26,741.0,433.0
1056,34,5,True,VAR,1,600000.0,0.0,88.35,730.0,435.0
1057,36,5,True,VAR,1,600000.0,0.0,87.89,742.0,469.0
1058,38,5,True,VAR,1,600000.0,0.0,88.15,686.0,499.0
1059,40,5,True,VAR,1,600000.0,0.0,87.86,682.0,532.0
1060,42,5,True,VAR,1,600000.0,0.0,87.67,709.0,524.0
1061,10,1,True,VAR,1,100,0.0,2.84,9713.0,3.0
1062,20,1,True,VAR,1,100,0.0,57.57,4195.0,48.0
1063,30,1,True,VAR,1,100,0.0,77.66,2039.0,195.0
1064,40,1,True,VAR,1,100,0.0,83.01,1422.0,277.0
1065,50,1,True,VAR,1,100,0.0,85.09,1139.0,352.0
1066,60,1,True,VAR,1,100,0.0,85.45,1034.0,421.0
1067,70,1,True,VAR,1,100,0.0,85.4,953.0,507.0
1068,80,1,True,VAR,1,100,0.0,84.9,919.0,591.0
1069,90,1,True,VAR,1,100,0.0,84.46,900.0,654.0
1070,100,1,True,VAR,1,100,0.0,83.6,899.0,741.0
1071,110,1,True,VAR,1,100,0.0,82.67,895.0,838.0
1072,120,1,True,VAR,1,100,0.0,82.13,895.0,892.0
1073,10,1,True,VAR,1,1000000,0.0,2.73,9724.0,3.0
1074,20,1,True,VAR,1,1000000,0.0,58.57,4097.0,46.0
1075,30,1,True,VAR,1,1000000,0.0,80.22,1778.0,200.0
1076,40,1,True,VAR,1,1000000,0.0,85.75,1145.0,280.0
1077,50,1,True,VAR,1,1000000,0.0,87.02,952.0,346.0
1078,60,1,True,VAR,1,1000000,0.0,87.5,848.0,402.0
1079,70,1,True,VAR,1,1000000,0.0,87.31,845.0,424.0
1080,80,1,True,VAR,1,1000000,0.0,87.5,838.0,412.0
1081,90,1,True,VAR,1,1000000,0.0,87.24,831.0,445.0
1082,100,1,True,VAR,1,1000000,0.0,87.28,832.0,440.0
1083,110,1,True,VAR,1,1000000,0.0,87.64,832.0,404.0
1084,120,1,True,VAR,1,1000000,0.0,87.12,862.0,426.0
1085,130,1,True,VAR,1,1000000,0.0,87.55,811.0,434.0
1086,140,1,True,VAR,1,1000000,0.0,87.55,828.0,417.0
1087,150,1,True,VAR,1,1000000,0.0,87.16,842.0,442.0
1088,160,1,True,VAR,1,1000000,0.0,87.5,818.0,432.0
1089,170,1,True,VAR,1,1000000,0.0,87.41,839.0,420.0
1090,180,1,True,VAR,1,1000000,0.0,87.27,826.0,447.0
1091,190,1,True,VAR,1,1000000,0.0,87.54,830.0,416.0
1092,200,1,True,VAR,1,1000000,0.0,87.41,859.0,400.0
1093,10,1,True,VAR,1,600000.0,0.0,2.82,9713.0,5.0
1094,20,1,True,VAR,1,600000.0,0.0,58.22,4128.0,50.0
1095,30,1,True,VAR,1,600000.0,0.0,79.7,1819.0,211.0
1096,40,1,True,VAR,1,600000.0,0.0,85.46,1190.0,264.0
1097,50,1,True,VAR,1,600000.0,0.0,87.03,944.0,353.0
1098,60,1,True,VAR,1,600000.0,0.0,87.8,789.0,431.0
1099,70,1,True,VAR,1,600000.0,0.0,87.47,787.0,466.0
1100,80,1,True,VAR,1,600000.0,0.0,87.53,770.0,477.0
1101,90,1,True,VAR,1,600000.0,0.0,87.21,768.0,511.0
1102,100,1,True,VAR,1,600000.0,0.0,87.52,767.0,481.0
1103,110,1,True,VAR,1,600000.0,0.0,87.71,743.0,486.0
1104,120,1,True,VAR,1,600000.0,0.0,87.16,789.0,495.0
1105,130,1,True,VAR,1,600000.0,0.0,87.76,724.0,500.0
1106,140,1,True,VAR,1,600000.0,0.0,87.48,751.0,501.0
